fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.686 UTC [nodeCmd] serve -> INFO 001[0m Starting peer:
fabric_peer4.1.m6iraofg63si@heming-rdma3    |  Version: 1.3.0
fabric_peer4.1.m6iraofg63si@heming-rdma3    |  Commit SHA: 4ece33d
fabric_peer4.1.m6iraofg63si@heming-rdma3    |  Go version: go1.10.4
fabric_peer4.1.m6iraofg63si@heming-rdma3    |  OS/Arch: linux/amd64
fabric_peer4.1.m6iraofg63si@heming-rdma3    |  Experimental features: false
fabric_peer4.1.m6iraofg63si@heming-rdma3    |  Chaincode:
fabric_peer4.1.m6iraofg63si@heming-rdma3    |   Base Image Version: 0.4.13
fabric_peer4.1.m6iraofg63si@heming-rdma3    |   Base Docker Namespace: hyperledger
fabric_peer4.1.m6iraofg63si@heming-rdma3    |   Base Docker Label: org.hyperledger.fabric
fabric_peer4.1.m6iraofg63si@heming-rdma3    |   Docker Namespace: hyperledger
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.686 UTC [ledgermgmt] initialize -> INFO 002[0m Initializing ledger mgmt
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.686 UTC [kvledger] NewProvider -> INFO 003[0m Initializing ledger provider
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.687 UTC [kvledger] NewProvider -> INFO 004[0m ledger provider Initialized
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.687 UTC [ledgermgmt] initialize -> INFO 005[0m ledger mgmt initialized
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.687 UTC [peer] func1 -> INFO 006[0m Auto-detected peer address: 10.0.2.71:7051
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.687 UTC [peer] func1 -> INFO 007[0m Host is 0.0.0.0 , falling back to auto-detected address: 10.0.2.71:7051
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.687 UTC [peer] func1 -> INFO 008[0m Auto-detected peer address: 10.0.2.71:7051
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.687 UTC [peer] func1 -> INFO 009[0m Host is 0.0.0.0 , falling back to auto-detected address: 10.0.2.71:7051
fabric_peer4.1.m6iraofg63si@heming-rdma3    | jyp: listenAddr= 0.0.0.0:7051 /opt/gopath/src/github.com/hyperledger/fabric/peer/node/start.go 195 2021-08-20 07:32:22.687905
fabric_peer4.1.m6iraofg63si@heming-rdma3    | jyp: register grpc deliver server
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.689 UTC [nodeCmd] computeChaincodeEndpoint -> INFO 00a[0m Entering computeChaincodeEndpoint with peerHostname: 10.0.2.71
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.689 UTC [nodeCmd] computeChaincodeEndpoint -> INFO 00b[0m Exit with ccEndpoint: 10.0.2.71:7052
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [33m2021-08-20 07:32:22.689 UTC [nodeCmd] createChaincodeServer -> WARN 00c[0m peer.chaincodeListenAddress is not set, using 10.0.2.71:7052
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.691 UTC [sccapi] registerSysCC -> INFO 00d[0m system chaincode lscc(github.com/hyperledger/fabric/core/scc/lscc) registered
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.691 UTC [sccapi] registerSysCC -> INFO 00e[0m system chaincode cscc(github.com/hyperledger/fabric/core/scc/cscc) registered
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.691 UTC [sccapi] registerSysCC -> INFO 00f[0m system chaincode qscc(github.com/hyperledger/fabric/core/scc/qscc) registered
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.691 UTC [sccapi] registerSysCC -> INFO 010[0m system chaincode +lifecycle(github.com/hyperledger/fabric/core/chaincode/lifecycle) registered
fabric_peer4.1.m6iraofg63si@heming-rdma3    | jyp: register grpc Admin server
fabric_peer4.1.m6iraofg63si@heming-rdma3    | jyp: TOOD: how to init plugin
fabric_peer4.1.m6iraofg63si@heming-rdma3    | jyp: register grpc Endorser server
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.694 UTC [gossip/service] func1 -> INFO 011[0m Initialize gossip with endpoint 10.0.2.71:7051 and bootstrap set [fabric_peer0:7051]
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.699 UTC [gossip/gossip] NewGossipService -> INFO 012[0m Creating gossip service with self membership of {fabric_peer4:7051 [] [98 218 101 204 19 159 38 99 70 208 116 230 151 21 41 108 131 202 87 253 203 101 174 192 213 84 102 67 12 66 200 173] 10.0.2.71:7051 <nil> <nil>}
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.700 UTC [gossip/gossip] start -> INFO 013[0m Gossip instance 10.0.2.71:7051 started
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.701 UTC [sccapi] deploySysCC -> INFO 014[0m system chaincode lscc/(github.com/hyperledger/fabric/core/scc/lscc) deployed
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.702 UTC [cscc] Init -> INFO 015[0m Init CSCC
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.702 UTC [sccapi] deploySysCC -> INFO 016[0m system chaincode cscc/(github.com/hyperledger/fabric/core/scc/cscc) deployed
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.703 UTC [qscc] Init -> INFO 017[0m Init QSCC
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.703 UTC [sccapi] deploySysCC -> INFO 018[0m system chaincode qscc/(github.com/hyperledger/fabric/core/scc/qscc) deployed
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.703 UTC [sccapi] deploySysCC -> INFO 019[0m system chaincode +lifecycle/(github.com/hyperledger/fabric/core/chaincode/lifecycle) deployed
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.703 UTC [nodeCmd] serve -> INFO 01a[0m Deployed system chaincodes
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.711 UTC [discovery] NewService -> INFO 01b[0m Created with config TLS: false, authCacheMaxSize: 1000, authCachePurgeRatio: 0.750000
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.711 UTC [nodeCmd] registerDiscoveryService -> INFO 01c[0m Discovery service activated
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.712 UTC [nodeCmd] serve -> INFO 01d[0m Starting peer with ID=[name:"fabric_peer4" ], network ID=[dev], address=[10.0.2.71:7051]
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [34m2021-08-20 07:32:22.712 UTC [nodeCmd] serve -> INFO 01e[0m Started peer with ID=[name:"fabric_peer4" ], network ID=[dev], address=[10.0.2.71:7051]
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [33m2021-08-20 07:32:35.654 UTC [gossip/comm] sendToEndpoint -> WARN 01f[0m Failed obtaining connection for 10.0.2.70:7051, PKIid:[170 175 212 202 89 239 36 48 226 45 31 175 5 207 54 242 239 115 6 159 3 128 161 29 99 165 67 252 240 176 150 65] reason: context deadline exceeded
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [33m2021-08-20 07:32:35.654 UTC [gossip/discovery] expireDeadMembers -> WARN 020[0m Entering [[170 175 212 202 89 239 36 48 226 45 31 175 5 207 54 242 239 115 6 159 3 128 161 29 99 165 67 252 240 176 150 65]]
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [33m2021-08-20 07:32:35.654 UTC [gossip/discovery] expireDeadMembers -> WARN 021[0m Closing connection to Endpoint: fabric_peer3:7051, InternalEndpoint: 10.0.2.70:7051, PKI-ID: [170 175 212 202 89 239 36 48 226 45 31 175 5 207 54 242 239 115 6 159 3 128 161 29 99 165 67 252 240 176 150 65], Metadata: []
fabric_peer4.1.m6iraofg63si@heming-rdma3    | [33m2021-08-20 07:32:35.654 UTC [gossip/discovery] expireDeadMembers -> WARN 022[0m Exiting
