Multicast TPS:60
Multicast interval:16
Binded to NIC: enp5s0 - 10.22.1.2
Total 1000 Interval 1167 TPS 0 kTxns/s
Total 2000 Interval 25 TPS 40 kTxns/s
Total 3000 Interval 28 TPS 35 kTxns/s
Total 4000 Interval 26 TPS 38 kTxns/s
Total 5000 Interval 29 TPS 34 kTxns/s
Total 6000 Interval 25 TPS 40 kTxns/s
Total 7000 Interval 26 TPS 38 kTxns/s
Total 8000 Interval 24 TPS 41 kTxns/s
Total 9000 Interval 25 TPS 40 kTxns/s
Total 10000 Interval 29 TPS 34 kTxns/s
Total 11000 Interval 27 TPS 37 kTxns/s
Total 12000 Interval 26 TPS 38 kTxns/s
Total 13000 Interval 25 TPS 40 kTxns/s
Total 14000 Interval 24 TPS 41 kTxns/s
Total 15000 Interval 23 TPS 43 kTxns/s
Total 16000 Interval 26 TPS 38 kTxns/s
Total 17000 Interval 26 TPS 38 kTxns/s
Total 18000 Interval 26 TPS 38 kTxns/s
Total 19000 Interval 24 TPS 41 kTxns/s
Total 20000 Interval 26 TPS 38 kTxns/s
Total 21000 Interval 27 TPS 37 kTxns/s
Total 22000 Interval 28 TPS 35 kTxns/s
Total 23000 Interval 27 TPS 37 kTxns/s
Total 24000 Interval 28 TPS 35 kTxns/s
Total 25000 Interval 27 TPS 37 kTxns/s
Total 26000 Interval 28 TPS 35 kTxns/s
Total 27000 Interval 27 TPS 37 kTxns/s
Total 28000 Interval 29 TPS 34 kTxns/s
Total 29000 Interval 26 TPS 38 kTxns/s
Total 30000 Interval 23 TPS 43 kTxns/s
Total 31000 Interval 23 TPS 43 kTxns/s
Total 32000 Interval 21 TPS 47 kTxns/s
Total 33000 Interval 23 TPS 43 kTxns/s
Total 34000 Interval 20 TPS 50 kTxns/s
Total 35000 Interval 22 TPS 45 kTxns/s
Total 36000 Interval 22 TPS 45 kTxns/s
Total 37000 Interval 20 TPS 50 kTxns/s
Total 38000 Interval 22 TPS 45 kTxns/s
Total 39000 Interval 22 TPS 45 kTxns/s
Total 40000 Interval 29 TPS 34 kTxns/s
Total 41000 Interval 26 TPS 38 kTxns/s
Total 42000 Interval 22 TPS 45 kTxns/s
Total 43000 Interval 22 TPS 45 kTxns/s
Total 44000 Interval 21 TPS 47 kTxns/s
Total 45000 Interval 23 TPS 43 kTxns/s
Total 46000 Interval 26 TPS 38 kTxns/s
Total 47000 Interval 20 TPS 50 kTxns/s
Total 48000 Interval 18 TPS 55 kTxns/s
Total 49000 Interval 19 TPS 52 kTxns/s
Total 50000 Interval 24 TPS 41 kTxns/s
Total 51000 Interval 24 TPS 41 kTxns/s
Total 52000 Interval 20 TPS 50 kTxns/s
Total 53000 Interval 24 TPS 41 kTxns/s
Total 54000 Interval 18 TPS 55 kTxns/s
Total 55000 Interval 18 TPS 55 kTxns/s
Total 56000 Interval 21 TPS 47 kTxns/s
Total 57000 Interval 22 TPS 45 kTxns/s
Total 58000 Interval 24 TPS 41 kTxns/s
Total 59000 Interval 20 TPS 50 kTxns/s
Total 60000 Interval 18 TPS 55 kTxns/s
Total 61000 Interval 18 TPS 55 kTxns/s
Total 62000 Interval 18 TPS 55 kTxns/s
Total 63000 Interval 20 TPS 50 kTxns/s
Total 64000 Interval 20 TPS 50 kTxns/s
Total 65000 Interval 19 TPS 52 kTxns/s
Total 66000 Interval 55 TPS 18 kTxns/s
Total 67000 Interval 21 TPS 47 kTxns/s
Total 68000 Interval 17 TPS 58 kTxns/s
Total 69000 Interval 21 TPS 47 kTxns/s
Total 70000 Interval 19 TPS 52 kTxns/s
Total 71000 Interval 21 TPS 47 kTxns/s
Total 72000 Interval 18 TPS 55 kTxns/s
Total 73000 Interval 17 TPS 58 kTxns/s
Total 74000 Interval 17 TPS 58 kTxns/s
Total 75000 Interval 19 TPS 52 kTxns/s
Total 76000 Interval 19 TPS 52 kTxns/s
Total 77000 Interval 18 TPS 55 kTxns/s
Total 78000 Interval 19 TPS 52 kTxns/s
Total 79000 Interval 18 TPS 55 kTxns/s
Total 80000 Interval 18 TPS 55 kTxns/s
Total 81000 Interval 18 TPS 55 kTxns/s
Total 82000 Interval 18 TPS 55 kTxns/s
Total 83000 Interval 20 TPS 50 kTxns/s
Total 84000 Interval 19 TPS 52 kTxns/s
Total 85000 Interval 21 TPS 47 kTxns/s
Total 86000 Interval 18 TPS 55 kTxns/s
Total 87000 Interval 17 TPS 58 kTxns/s
Total 88000 Interval 17 TPS 58 kTxns/s
Total 89000 Interval 18 TPS 55 kTxns/s
